signal_time,return,diff,pnl
1753965000,-0.000434229,0.003291211,4.0311%
1753965300,0.001276161,0.000878634,4.1587%
1753965600,0.000131273,0.001408715,4.1718%
1753965900,0.000391003,0.001424859,4.2109%
1753966200,0.000318329,0.001505611,4.2428%
1753966500,0.001253949,0.00106326,4.3682%
1753966800,-0.000476208,0.003647528,4.3205%
1753967100,0.000837341,0.003260198,4.4043%
1753967400,-0.001371102,0.000954503,4.2672%
1753967700,0.000802623,0.002071498,4.3474%
1753968000,-6.11E-05,0.005053253,4.3413%
1753968300,6.69E-05,0.002763504,4.3480%
1753968600,-0.003819466,0.003951513,3.9661%
1753968900,0.005691794,0.001547686,4.5352%
1753969200,-0.000481286,0.001918648,4.4871%
1753969500,-0.000247042,0.002845521,4.4624%
1753969800,0.001276242,0.001788299,4.5900%
1753970100,-0.000276775,0.002745047,4.5623%
1753970400,-0.001309571,0.003008283,4.4314%
1753970700,0.00028395,0.00281804,4.4598%
1753971000,-0.002187041,0.000944701,4.2411%
1753971300,0.002789403,0.003248851,4.5200%
1753971600,-0.002379405,0.002206478,4.2821%
1753971900,-0.002586616,0.001920689,4.0234%
1753972200,-0.000299344,0.004056871,3.9935%
1753972500,0.000411863,0.00224008,4.0347%
1753972800,6.30E-05,0.001968352,4.0410%
1753973100,0.000523004,0.001016262,4.0933%
1753973400,0.000371627,0.003361594,4.1304%
1753973700,0.000608465,0.00139186,4.1913%
1753974000,0.001157169,0.00344849,4.3070%
1753974300,-0.000159329,0.003454289,4.2911%
1753974600,-0.000390436,0.004072993,4.2520%
1753974900,-0.000885857,0.001337885,4.1634%
1753975200,-0.001126172,0.000897033,4.0508%
1753975500,-0.000516215,0.002466039,3.9992%
1753975800,0.00148964,0.002336666,4.1482%
1753976100,0.001545184,0.004138383,4.3027%
1753976400,0.000464658,0.001391981,4.3491%
1753976700,-0.001640953,0.000918998,4.1850%
1753977000,-0.000225375,0.001399645,4.1625%
1753977300,-0.000491453,0.001343224,4.1134%
1753977600,-0.001617965,0.001441446,3.9516%
1753977900,-0.000609746,0.004343531,3.8906%
1753978200,0.001318618,0.002580977,4.0225%
1753978500,-0.001335895,0.003432819,3.8889%
1753978800,0.000387955,0.002589505,3.9277%
1753979100,0.000259457,0.003585596,3.9536%
1753979400,0.001196209,0.002302285,4.0732%
1753979700,-0.002854316,0.002439041,3.7878%
1753980000,0.000480666,0.00196349,3.8359%
1753980300,-0.001584343,0.00274193,3.6774%
1753980600,-0.000761345,0.001470943,3.6013%
1753980900,-6.84E-05,0.00241339,3.5945%
1753981200,-0.001132475,0.001426973,3.4812%
